llm,config,test,system,serv_a,serv_b,serv_cons,serv_final,inter_a,inter_b,inter_cons,inter_final,serv_precision,serv_recall,inter_precision,inter_recall,yaml_valid,yaml_valid_raw,total_tokens,duration_ms,total_calls,prompt_tokens,completion_tokens,execution_id
Gemini,C1,1,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7647,0.7761,0.7761,0.7761,1.0,0.8571,0.8125,0.7429,0,0,60935,82726.915,6,0,29493,20260902_235207_721636
Gemini,C1,2,7ep,1.0,1.0,1.0,1.0,0.9524,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1,0,113905,184868.103,9,0,53229,20260903_165851_722305
Gemini,C1,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,53067,66840.826,6,0,21081,20260903_170201_132368
Gemini,C1,2,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.0,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,49762,53113.875,6,0,15821,20260903_170310_441568
Gemini,C1,2,DayTrader7,1.0,1.0,1.0,1.0,0.9091,0.1111,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0,62474,91156.79,6,0,27500,20260903_170406_091998
Gemini,C1,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,39957,31441.044,6,0,7738,20260903_170539_666682
Gemini,C1,2,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,53070,62522.609,6,0,18471,20260903_170614_738076
Gemini,C1,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,42442,43213.248,6,0,12167,20260903_170720_748773
Gemini,C1,2,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7879,0.8,0.8,0.8,1.0,0.8571,0.8667,0.7429,0,0,79291,132803.996,6,0,47775,20260903_170806_809516
Gemini,C1,3,7ep,1.0,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1.0,1,0,54039,69407.058,6,0,20470,20260903_171623_364024
Gemini,C1,3,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,41582,32094.356,6,0,9705,20260903_171736_323832
Gemini,C1,3,Cargo-Tracker,0.9091,0.9091,0.7143,0.7143,0.2353,0.8421,0.7273,0.7273,0.625,0.8333,0.7273,0.7273,1,0,55317,67580.768,6,0,21207,20260903_171811_012917
Gemini,C1,3,DayTrader7,1.0,1.0,1.0,1.0,0.4762,0.6667,0.6667,0.6667,1.0,1.0,0.7778,0.5833,1,0,61875,87191.832,6,0,26451,20260903_171921_736232
Gemini,C1,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,40399,32139.409,6,0,8095,20260903_172051_461595
Gemini,C1,3,JPetStore,1.0,1.0,1.0,1.0,0.5714,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,47630,55242.258,6,0,13430,20260903_172127_010482
Gemini,C1,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,45832,61217.598,6,0,13710,20260903_172226_827045
Gemini,C1,3,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.623,0.8,0.8,0.8,1.0,0.8571,0.8667,0.7429,1,0,80712,142281.745,6,0,49565,20260903_172333_064144
Gemini,C2,1,7ep,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,38989,30506.561,4,0,9576,20260907_225212_288556
Gemini,C2,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,0.5714,1.0,1.0,1.0,1.0,1.0,1.0,1,0,33611,19456.3,4,0,5804,20260907_225245_419609
Gemini,C2,1,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,49064,52803.586,4,0,17400,20260907_225307_406802
Gemini,C2,1,DayTrader7,1.0,1.0,1.0,1.0,0.9091,0.9091,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0,49420,57616.093,4,0,19625,20260907_225402_824175
Gemini,C2,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,34259,25710.308,4,0,6402,20260907_225503_254160
Gemini,C2,1,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.4286,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,44261,50005.822,4,0,14711,20260907_225531_529062
Gemini,C2,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,34596,27192.949,4,0,7961,20260907_225624_332330
Gemini,C2,1,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7879,0.6032,0.7879,0.7879,1.0,0.8571,0.8387,0.7429,1,0,39565,36884.101,4,0,11784,20260907_225654_422345
Gemini,C2,2,7ep,1.0,1.0,1.0,1.0,0.9524,0.75,0.9524,0.9524,1.0,1.0,0.9091,1.0,1,0,43974,46035.23,4,0,15093,20260907_230416_109126
Gemini,C2,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,37322,26624.891,4,0,8532,20260907_230505_213119
Gemini,C2,2,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.8,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,52004,70682.172,4,0,22682,20260907_230535_245865
Gemini,C2,2,DayTrader7,1.0,1.0,1.0,1.0,0.9091,0.9167,0.9565,0.9565,1.0,1.0,1.0,0.9167,1,0,83930,150561.008,5,0,50265,20260907_230650_454492
Gemini,C2,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,33943,22232.456,4,0,6108,20260907_230923_454989
Gemini,C2,2,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,66859,76880.068,4,0,25456,20260907_230948_411875
Gemini,C2,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,39027,43782.847,4,0,12206,20260907_231107_784249
Gemini,C2,2,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7647,0.8,0.8,0.8,1.0,0.8571,0.8667,0.7429,1,0,67515,123550.355,4,0,40292,20260907_231154_049473
Gemini,C2,3,7ep,1.0,1.0,1.0,1.0,0.9524,0.9524,0.9524,0.9524,1.0,1.0,0.9091,1.0,1,0,57390,58181.057,4,0,19882,20260907_231654_505656
Gemini,C2,3,AcmeAir,1.0,1.0,1.0,1.0,0.9412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,36444,32231.036,4,0,8284,20260907_231756_095574
Gemini,C2,3,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.8421,0.0,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,44906,50587.366,4,0,15734,20260907_231831_853562
Gemini,C2,3,DayTrader7,1.0,1.0,0.9231,0.9231,0.9167,0.2222,0.88,0.88,0.8571,1.0,0.8462,0.9167,1,0,40558,35630.713,4,0,10380,20260907_231926_924901
Gemini,C2,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,33388,21647.962,4,0,5469,20260907_232006_202832
Gemini,C2,3,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,58964,64005.552,5,0,19840,20260907_232030_013997
Gemini,C2,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,44440,46483.567,5,0,13937,20260907_232136_487944
Gemini,C2,3,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7536,0.7761,0.7761,0.7761,1.0,0.8571,0.8125,0.7429,0,0,47810,67749.327,4,0,20001,20260907_232226_089142
Gemini,C3,1,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,11413,21072.77,2,0,6462,20260908_092444_857580
Gemini,C3,1,AcmeAir,1.0,,,1.0,0.5714,,,0.5714,1.0,1.0,0.6667,0.5,1,0,16234,37985.665,2,0,11691,20260908_092510_221371
Gemini,C3,1,Cargo-Tracker,0.9091,,,0.9091,0.0,,,0.0,1.0,0.8333,0.0,0.0,1,0,13421,30021.519,2,0,8442,20260908_092551_086975
Gemini,C3,1,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,1,0,28794,81926.504,2,0,23483,20260908_092623_778399
Gemini,C3,1,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,7899,18748.287,2,0,3268,20260908_092748_577600
Gemini,C3,1,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,16661,37723.819,2,0,11494,20260908_092810_057829
Gemini,C3,1,PetClinic,1.0,,,1.0,0.6667,,,0.6667,1.0,1.0,0.6667,0.6667,1,0,7233,15966.495,2,0,3260,20260908_092850_591518
Gemini,C3,1,TNTConcept,0.9231,,,0.9231,0.6154,,,0.6154,1.0,0.8571,0.6667,0.5714,1,0,17604,46543.338,2,0,13704,20260908_092909_226783
Gemini,C3,2,7ep,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,11797,23214.217,2,0,6858,20260908_095439_959423
Gemini,C3,2,AcmeAir,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,9313,16677.616,2,0,4868,20260908_095509_948561
Gemini,C3,2,Cargo-Tracker,0.7692,,,0.7692,0.56,,,0.56,0.7143,0.8333,0.5,0.6364,0,0,24095,78400.833,2,0,18972,20260908_095528_885759
Gemini,C3,2,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,1,0,21028,55275.39,2,0,15751,20260908_095649_751636
Gemini,C3,2,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,7362,14854.273,2,0,2747,20260908_095747_536095
Gemini,C3,2,JPetStore,1.0,,,1.0,0.4286,,,0.4286,1.0,1.0,0.6,0.3333,1,0,12814,27977.009,2,0,7610,20260908_095804_871969
Gemini,C3,2,PetClinic,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,8093,17497.263,2,0,4159,20260908_095835_334146
Gemini,C3,2,TNTConcept,0.9231,,,0.9231,0.7302,,,0.7302,1.0,0.8571,0.8214,0.6571,1,0,40411,143767.747,3,0,36513,20260908_095855_325059
Gemini,C3,3,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,9773,18812.035,2,0,4861,20260908_100504_289248
Gemini,C3,3,AcmeAir,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,11523,51268.619,2,0,7007,20260908_100526_564107
Gemini,C3,3,Cargo-Tracker,0.9091,,,0.9091,0.8421,,,0.8421,1.0,0.8333,1.0,0.7273,1,0,24854,61739.12,2,0,19824,20260908_100621_282583
Gemini,C3,3,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,1,0,19817,52010.85,2,0,14500,20260908_100726_705959
Gemini,C3,3,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,7153,18831.202,2,0,2540,20260908_100821_753763
Gemini,C3,3,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,14303,32480.862,2,0,9076,20260908_100842_969630
Gemini,C3,3,PetClinic,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,7672,31812.476,2,0,3760,20260908_100918_024603
Gemini,C3,3,TNTConcept,0.9231,,,0.9231,0.7077,,,0.7077,1.0,0.8571,0.7667,0.6571,1,0,13647,38379.314,2,0,9667,20260908_100952_521021
Gemini,C4,1,7ep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,32402,85602.0,6,0,15518,20260924_000010_980908
Gemini,C4,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,0.4286,1.0,1.0,1.0,1.0,1.0,1.0,1,0,30792,61453.045,6,0,15426,20260924_000142_629458
Gemini,C4,1,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.0,0.0,0.0,0.0,1.0,0.8333,0.0,0.0,1,0,42430,78763.326,7,0,21346,20260924_000247_071514
Gemini,C4,1,DayTrader7,1.0,1.0,1.0,1.0,0.7826,0.9091,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0,63875,168230.583,6,0,45716,20260924_000408_649029
Gemini,C4,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,27313,38353.183,6,0,10205,20260924_000700_166579
Gemini,C4,1,JPetStore,1.0,1.0,1.0,1.0,0.1538,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,39368,80597.635,6,0,21983,20260924_000742_059274
Gemini,C4,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,28139,43037.723,6,0,11898,20260924_000906_005905
Gemini,C4,1,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7761,0.6866,0.7761,0.7761,1.0,0.8571,0.8125,0.7429,1,0,40377,77357.009,6,0,25269,20260924_000952_321408
Gemini,C4,2,7ep,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,27892,50481.926,7,0,11081,20260924_001923_344442
Gemini,C4,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,30121,55358.65,6,0,14959,20260924_002016_999094
Gemini,C4,2,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.0,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,0,0,47223,108457.114,6,0,29932,20260924_002115_352545
Gemini,C4,2,DayTrader7,1.0,1.0,1.0,1.0,0.9167,0.9167,0.9167,0.9167,1.0,1.0,0.9167,0.9167,1,0,93606,277845.125,6,0,75328,20260924_002307_330071
Gemini,C4,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,31032,55234.618,6,0,14857,20260924_002747_986779
Gemini,C4,2,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.8235,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,35004,63246.321,6,0,17689,20260924_002845_954837
Gemini,C4,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,40115,77089.754,7,0,20700,20260924_002952_364817
Gemini,C4,2,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7647,0.7647,0.7647,0.7647,1.0,0.8571,0.7879,0.7429,0,0,66642,147653.577,7,0,47742,20260924_003112_676069
Gemini,C4,3,7ep,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,27664,43135.968,6,0,11038,20260924_003550_639923
Gemini,C4,3,AcmeAir,1.0,1.0,1.0,1.0,0.8235,1.0,0.8235,0.8235,1.0,1.0,0.7778,0.875,1,0,57477,155014.602,6,0,41879,20260924_003637_244743
Gemini,C4,3,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,75276,211156.368,6,0,58250,20260924_003915_987510
Gemini,C4,3,DayTrader7,1.0,1.0,1.0,1.0,0.9091,0.9091,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0,54426,139417.069,6,0,36443,20260924_004250_430207
Gemini,C4,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,25442,40084.325,6,0,8560,20260924_004513_264273
Gemini,C4,3,JPetStore,1.0,1.0,1.0,1.0,0.4286,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,36111,68805.985,6,0,18662,20260924_004557_528453
Gemini,C4,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,32678,67695.371,6,0,17547,20260924_004709_849176
Gemini,C4,3,TNTConcept,0.9231,0.9231,0.9231,0.9231,0.7647,0.7647,0.7647,0.7647,1.0,0.8571,0.7879,0.7429,1,0,70951,177387.276,6,0,56361,20260924_004820_759079
DeepSeek,C0,1,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,2848,4829.469,1,2490,358,20260909_000015_985111
DeepSeek,C0,1,AcmeAir,1.0,,,1.0,0.6667,,,0.6667,1.0,1.0,0.6,0.75,1,0,2703,4254.961,1,2318,385,20260909_000024_135959
DeepSeek,C0,1,Cargo-Tracker,0.9091,,,0.9091,0.8,,,0.8,1.0,0.8333,0.8889,0.7273,1,0,2896,5313.213,1,2537,359,20260909_000031_916769
DeepSeek,C0,1,DayTrader7,0.7273,,,0.7273,0.6087,,,0.6087,0.8,0.6667,0.6364,0.5833,1,0,3187,5333.161,1,2675,512,20260909_000040_069614
DeepSeek,C0,1,Jokul,1.0,,,1.0,0.8571,,,0.8571,1.0,1.0,0.75,1.0,1,0,2661,4080.303,1,2434,227,20260909_000048_614440
DeepSeek,C0,1,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,3096,5363.412,1,2657,439,20260909_000056_214794
DeepSeek,C0,1,PetClinic,1.0,,,1.0,0.8571,,,0.8571,1.0,1.0,0.75,1.0,1,0,2288,3081.856,1,2093,195,20260909_000105_073448
DeepSeek,C0,1,TNTConcept,0.9231,,,0.9231,0.7714,,,0.7714,1.0,0.8571,0.7714,0.7714,1,0,2332,4382.786,1,1918,414,20260909_000111_118651
DeepSeek,C0,2,7ep,1.0,,,1.0,0.8696,,,0.8696,1.0,1.0,0.7692,1.0,1,0,2819,4341.237,1,2490,329,20260909_000859_000025
DeepSeek,C0,2,AcmeAir,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,0.8889,1.0,1,0,2702,4411.555,1,2318,384,20260909_000906_277427
DeepSeek,C0,2,Cargo-Tracker,0.9091,,,0.9091,0.8,,,0.8,1.0,0.8333,0.8889,0.7273,1,0,2884,4308.853,1,2537,347,20260909_000913_324142
DeepSeek,C0,2,DayTrader7,0.8571,,,0.8571,0.72,,,0.72,0.75,1.0,0.6923,0.75,1,0,3094,4410.987,1,2675,419,20260909_000919_667318
DeepSeek,C0,2,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,2606,2549.166,1,2434,172,20260909_000926_245315
DeepSeek,C0,2,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,3082,4709.564,1,2657,425,20260909_000931_840527
DeepSeek,C0,2,PetClinic,1.0,,,1.0,0.8571,,,0.8571,1.0,1.0,0.75,1.0,1,0,2288,2664.386,1,2093,195,20260909_000938_653009
DeepSeek,C0,2,TNTConcept,0.9231,,,0.9231,0.7647,,,0.7647,1.0,0.8571,0.7879,0.7429,1,0,2328,3427.277,1,1918,410,20260909_000943_408088
DeepSeek,C0,3,7ep,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,0.8333,1.0,1,0,2840,4020.708,1,2490,350,20260909_001652_547770
DeepSeek,C0,3,AcmeAir,1.0,,,1.0,0.8889,,,0.8889,1.0,1.0,0.8,1.0,1,0,2693,4027.227,1,2318,375,20260909_001700_790342
DeepSeek,C0,3,Cargo-Tracker,0.8333,,,0.8333,0.7273,,,0.7273,0.8333,0.8333,0.7273,0.7273,1,0,2889,4200.154,1,2537,352,20260909_001706_711573
DeepSeek,C0,3,DayTrader7,0.8571,,,0.8571,0.7692,,,0.7692,0.75,1.0,0.7143,0.8333,1,0,3093,5292.042,1,2675,418,20260909_001713_061057
DeepSeek,C0,3,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,2595,3369.163,1,2434,161,20260909_001722_534070
DeepSeek,C0,3,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,3098,4752.465,1,2657,441,20260909_001728_483426
DeepSeek,C0,3,PetClinic,1.0,,,1.0,0.8571,,,0.8571,1.0,1.0,0.75,1.0,1,0,2281,2676.594,1,2093,188,20260909_001737_139594
DeepSeek,C0,3,TNTConcept,0.9231,,,0.9231,0.7714,,,0.7714,1.0,0.8571,0.7714,0.7714,1,0,2336,4037.351,1,1918,418,20260909_001741_805940
DeepSeek,C1,1,7ep,1.0,1.0,1.0,1.0,0.9091,1.0,0.9091,0.9091,1.0,1.0,0.8333,1.0,1,0,33388,20769.978,8,31412,1976,20260909_103416_609424
DeepSeek,C1,1,AcmeAir,1.0,1.0,1.0,1.0,0.9412,0.9412,0.9412,0.9412,1.0,1.0,0.8889,1.0,1,0,32536,21040.058,8,30489,2047,20260909_103439_055327
DeepSeek,C1,1,Cargo-Tracker,0.9231,0.9091,0.9231,0.9231,0.7826,0.8421,0.7826,0.7826,0.8571,1.0,0.75,0.8182,1,0,30093,20851.402,7,28061,2032,20260909_103501_700790
DeepSeek,C1,1,DayTrader7,0.8571,0.0,0.8571,0.8571,0.72,0.0,0.72,0.72,0.75,1.0,0.6923,0.75,1,0,35824,23340.881,8,33318,2506,20260909_103524_152224
DeepSeek,C1,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,30834,15235.643,8,29820,1014,20260909_103549_249490
