llm,config,execution,system,f1_serv,f1_inter,serv_a,serv_b,serv_cons,inter_a,inter_b,inter_cons,serv_precision,serv_recall,inter_precision,inter_recall,yaml_valid,yaml_valid_raw,total_tokens,duration_ms,total_calls,prompt_tokens,completion_tokens,execution_id
Gemini,C1,2,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.0,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,49762.0,53113.875,6.0,0.0,15821.0,20260903_170310_441568
Gemini,C1,2,DayTrader7,1.0,0.9091,1.0,1.0,1.0,0.9091,0.1111,0.9091,1.0,1.0,1.0,0.8333,1,0.0,62474.0,91156.79,6.0,0.0,27500.0,20260903_170406_091998
Gemini,C1,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,39957.0,31441.044,6.0,0.0,7738.0,20260903_170539_666682
Gemini,C1,2,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,53070.0,62522.609,6.0,0.0,18471.0,20260903_170614_738076
Gemini,C1,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,42442.0,43213.248,6.0,0.0,12167.0,20260903_170720_748773
Gemini,C1,2,TNTConcept,0.9231,0.8,0.9231,0.9231,0.9231,0.7879,0.8,0.8,1.0,0.8571,0.8667,0.7429,0,0.0,79291.0,132803.996,6.0,0.0,47775.0,20260903_170806_809516
Gemini,C1,3,7ep,1.0,1.0,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1,0.0,54039.0,69407.058,6.0,0.0,20470.0,20260903_171623_364024
Gemini,C1,3,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,41582.0,32094.356,6.0,0.0,9705.0,20260903_171736_323832
Gemini,C1,3,Cargo-Tracker,0.7143,0.7273,0.9091,0.9091,0.7143,0.2353,0.8421,0.7273,0.625,0.8333,0.7273,0.7273,1,0.0,55317.0,67580.768,6.0,0.0,21207.0,20260903_171811_012917
Gemini,C1,3,DayTrader7,1.0,0.6667,1.0,1.0,1.0,0.4762,0.6667,0.6667,1.0,1.0,0.7778,0.5833,1,0.0,61875.0,87191.832,6.0,0.0,26451.0,20260903_171921_736232
Gemini,C1,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,40399.0,32139.409,6.0,0.0,8095.0,20260903_172051_461595
Gemini,C1,3,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.5714,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,47630.0,55242.258,6.0,0.0,13430.0,20260903_172127_010482
Gemini,C1,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,45832.0,61217.598,6.0,0.0,13710.0,20260903_172226_827045
Gemini,C1,3,TNTConcept,0.9231,0.8,0.9231,0.9231,0.9231,0.623,0.8,0.8,1.0,0.8571,0.8667,0.7429,1,0.0,80712.0,142281.745,6.0,0.0,49565.0,20260903_172333_064144
Gemini,C2,1,7ep,1.0,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,38989.0,30506.561,4.0,0.0,9576.0,20260907_225212_288556
Gemini,C2,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,0.5714,1.0,1.0,1.0,1.0,1.0,1,0.0,33611.0,19456.3,4.0,0.0,5804.0,20260907_225245_419609
Gemini,C2,1,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,49064.0,52803.586,4.0,0.0,17400.0,20260907_225307_406802
Gemini,C2,1,DayTrader7,1.0,0.9091,1.0,1.0,1.0,0.9091,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0.0,49420.0,57616.093,4.0,0.0,19625.0,20260907_225402_824175
Gemini,C2,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,34259.0,25710.308,4.0,0.0,6402.0,20260907_225503_254160
Gemini,C2,1,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.4286,0.9412,1.0,1.0,1.0,0.8889,1,0.0,44261.0,50005.822,4.0,0.0,14711.0,20260907_225531_529062
Gemini,C2,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,34596.0,27192.949,4.0,0.0,7961.0,20260907_225624_332330
Gemini,C2,1,TNTConcept,0.9231,0.7879,0.9231,0.9231,0.9231,0.7879,0.6032,0.7879,1.0,0.8571,0.8387,0.7429,1,0.0,39565.0,36884.101,4.0,0.0,11784.0,20260907_225654_422345
Gemini,C2,2,7ep,1.0,0.9524,1.0,1.0,1.0,0.9524,0.75,0.9524,1.0,1.0,0.9091,1.0,1,0.0,43974.0,46035.23,4.0,0.0,15093.0,20260907_230416_109126
Gemini,C2,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,37322.0,26624.891,4.0,0.0,8532.0,20260907_230505_213119
Gemini,C2,2,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.8,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,52004.0,70682.172,4.0,0.0,22682.0,20260907_230535_245865
Gemini,C2,2,DayTrader7,1.0,0.9565,1.0,1.0,1.0,0.9091,0.9167,0.9565,1.0,1.0,1.0,0.9167,1,0.0,83930.0,150561.008,5.0,0.0,50265.0,20260907_230650_454492
Gemini,C2,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,33943.0,22232.456,4.0,0.0,6108.0,20260907_230923_454989
Gemini,C2,2,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,66859.0,76880.068,4.0,0.0,25456.0,20260907_230948_411875
Gemini,C2,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,39027.0,43782.847,4.0,0.0,12206.0,20260907_231107_784249
Gemini,C2,2,TNTConcept,0.9231,0.8,0.9231,0.9231,0.9231,0.7647,0.8,0.8,1.0,0.8571,0.8667,0.7429,1,0.0,67515.0,123550.355,4.0,0.0,40292.0,20260907_231154_049473
Gemini,C2,3,7ep,1.0,0.9524,1.0,1.0,1.0,0.9524,0.9524,0.9524,1.0,1.0,0.9091,1.0,1,0.0,57390.0,58181.057,4.0,0.0,19882.0,20260907_231654_505656
Gemini,C2,3,AcmeAir,1.0,1.0,1.0,1.0,1.0,0.9412,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,36444.0,32231.036,4.0,0.0,8284.0,20260907_231756_095574
Gemini,C2,3,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.8421,0.0,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,44906.0,50587.366,4.0,0.0,15734.0,20260907_231831_853562
Gemini,C2,3,DayTrader7,0.9231,0.88,1.0,1.0,0.9231,0.9167,0.2222,0.88,0.8571,1.0,0.8462,0.9167,1,0.0,40558.0,35630.713,4.0,0.0,10380.0,20260907_231926_924901
Gemini,C2,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,33388.0,21647.962,4.0,0.0,5469.0,20260907_232006_202832
Gemini,C2,3,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,58964.0,64005.552,5.0,0.0,19840.0,20260907_232030_013997
Gemini,C2,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,44440.0,46483.567,5.0,0.0,13937.0,20260907_232136_487944
Gemini,C2,3,TNTConcept,0.9231,0.7761,0.9231,0.9231,0.9231,0.7536,0.7761,0.7761,1.0,0.8571,0.8125,0.7429,0,0.0,47810.0,67749.327,4.0,0.0,20001.0,20260907_232226_089142
Gemini,C3,1,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,11413.0,21072.77,2.0,0.0,6462.0,20260908_092444_857580
Gemini,C3,1,AcmeAir,1.0,0.5714,1.0,,,0.5714,,,1.0,1.0,0.6667,0.5,1,0.0,16234.0,37985.665,2.0,0.0,11691.0,20260908_092510_221371
Gemini,C3,1,Cargo-Tracker,0.9091,0.0,0.9091,,,0.0,,,1.0,0.8333,0.0,0.0,1,0.0,13421.0,30021.519,2.0,0.0,8442.0,20260908_092551_086975
Gemini,C3,1,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,1,0.0,28794.0,81926.504,2.0,0.0,23483.0,20260908_092623_778399
Gemini,C3,1,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,7899.0,18748.287,2.0,0.0,3268.0,20260908_092748_577600
Gemini,C3,1,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,16661.0,37723.819,2.0,0.0,11494.0,20260908_092810_057829
Gemini,C3,1,PetClinic,1.0,0.6667,1.0,,,0.6667,,,1.0,1.0,0.6667,0.6667,1,0.0,7233.0,15966.495,2.0,0.0,3260.0,20260908_092850_591518
Gemini,C3,1,TNTConcept,0.9231,0.6154,0.9231,,,0.6154,,,1.0,0.8571,0.6667,0.5714,1,0.0,17604.0,46543.338,2.0,0.0,13704.0,20260908_092909_226783
Gemini,C3,2,7ep,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,11797.0,23214.217,2.0,0.0,6858.0,20260908_095439_959423
Gemini,C3,2,AcmeAir,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,9313.0,16677.616,2.0,0.0,4868.0,20260908_095509_948561
Gemini,C3,2,Cargo-Tracker,0.7692,0.56,0.7692,,,0.56,,,0.7143,0.8333,0.5,0.6364,0,0.0,24095.0,78400.833,2.0,0.0,18972.0,20260908_095528_885759
Gemini,C3,2,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,1,0.0,21028.0,55275.39,2.0,0.0,15751.0,20260908_095649_751636
Gemini,C3,2,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,7362.0,14854.273,2.0,0.0,2747.0,20260908_095747_536095
Gemini,C3,2,JPetStore,1.0,0.4286,1.0,,,0.4286,,,1.0,1.0,0.6,0.3333,1,0.0,12814.0,27977.009,2.0,0.0,7610.0,20260908_095804_871969
Gemini,C3,2,PetClinic,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,8093.0,17497.263,2.0,0.0,4159.0,20260908_095835_334146
Gemini,C3,2,TNTConcept,0.9231,0.7302,0.9231,,,0.7302,,,1.0,0.8571,0.8214,0.6571,1,0.0,40411.0,143767.747,3.0,0.0,36513.0,20260908_095855_325059
Gemini,C3,3,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,9773.0,18812.035,2.0,0.0,4861.0,20260908_100504_289248
Gemini,C3,3,AcmeAir,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,11523.0,51268.619,2.0,0.0,7007.0,20260908_100526_564107
Gemini,C3,3,Cargo-Tracker,0.9091,0.8421,0.9091,,,0.8421,,,1.0,0.8333,1.0,0.7273,1,0.0,24854.0,61739.12,2.0,0.0,19824.0,20260908_100621_282583
Gemini,C3,3,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,1,0.0,19817.0,52010.85,2.0,0.0,14500.0,20260908_100726_705959
Gemini,C3,3,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,7153.0,18831.202,2.0,0.0,2540.0,20260908_100821_753763
Gemini,C3,3,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,14303.0,32480.862,2.0,0.0,9076.0,20260908_100842_969630
Gemini,C3,3,PetClinic,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,7672.0,31812.476,2.0,0.0,3760.0,20260908_100918_024603
Gemini,C3,3,TNTConcept,0.9231,0.7077,0.9231,,,0.7077,,,1.0,0.8571,0.7667,0.6571,1,0.0,13647.0,38379.314,2.0,0.0,9667.0,20260908_100952_521021
Gemini,C4,1,7ep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,32402.0,85602.0,6.0,0.0,15518.0,20260924_000010_980908
Gemini,C4,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,0.4286,1.0,1.0,1.0,1.0,1.0,1,0.0,30792.0,61453.045,6.0,0.0,15426.0,20260924_000142_629458
Gemini,C4,1,Cargo-Tracker,0.9091,0.0,0.9091,0.9091,0.9091,0.0,0.0,0.0,1.0,0.8333,0.0,0.0,1,0.0,42430.0,78763.326,7.0,0.0,21346.0,20260924_000247_071514
Gemini,C4,1,DayTrader7,1.0,0.9091,1.0,1.0,1.0,0.7826,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0.0,63875.0,168230.583,6.0,0.0,45716.0,20260924_000408_649029
Gemini,C4,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,27313.0,38353.183,6.0,0.0,10205.0,20260924_000700_166579
Gemini,C4,1,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.1538,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,39368.0,80597.635,6.0,0.0,21983.0,20260924_000742_059274
Gemini,C4,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,28139.0,43037.723,6.0,0.0,11898.0,20260924_000906_005905
Gemini,C4,1,TNTConcept,0.9231,0.7761,0.9231,0.9231,0.9231,0.7761,0.6866,0.7761,1.0,0.8571,0.8125,0.7429,1,0.0,40377.0,77357.009,6.0,0.0,25269.0,20260924_000952_321408
Gemini,C4,2,7ep,1.0,1.0,1.0,1.0,1.0,0.9524,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,27892.0,50481.926,7.0,0.0,11081.0,20260924_001923_344442
Gemini,C4,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,30121.0,55358.65,6.0,0.0,14959.0,20260924_002016_999094
Gemini,C4,2,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.0,0.8421,0.8421,1.0,0.8333,1.0,0.7273,0,0.0,47223.0,108457.114,6.0,0.0,29932.0,20260924_002115_352545
Gemini,C4,2,DayTrader7,1.0,0.9167,1.0,1.0,1.0,0.9167,0.9167,0.9167,1.0,1.0,0.9167,0.9167,1,0.0,93606.0,277845.125,6.0,0.0,75328.0,20260924_002307_330071
Gemini,C4,2,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,31032.0,55234.618,6.0,0.0,14857.0,20260924_002747_986779
Gemini,C4,2,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.8235,0.9412,1.0,1.0,1.0,0.8889,1,0.0,35004.0,63246.321,6.0,0.0,17689.0,20260924_002845_954837
Gemini,C4,2,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,40115.0,77089.754,7.0,0.0,20700.0,20260924_002952_364817
Gemini,C4,2,TNTConcept,0.9231,0.7647,0.9231,0.9231,0.9231,0.7647,0.7647,0.7647,1.0,0.8571,0.7879,0.7429,0,0.0,66642.0,147653.577,7.0,0.0,47742.0,20260924_003112_676069
Gemini,C4,3,7ep,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,27664.0,43135.968,6.0,0.0,11038.0,20260924_003550_639923
Gemini,C4,3,AcmeAir,1.0,0.8235,1.0,1.0,1.0,0.8235,1.0,0.8235,1.0,1.0,0.7778,0.875,1,0.0,57477.0,155014.602,6.0,0.0,41879.0,20260924_003637_244743
Gemini,C4,3,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,75276.0,211156.368,6.0,0.0,58250.0,20260924_003915_987510
Gemini,C4,3,DayTrader7,1.0,0.9091,1.0,1.0,1.0,0.9091,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0.0,54426.0,139417.069,6.0,0.0,36443.0,20260924_004250_430207
Gemini,C4,3,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,25442.0,40084.325,6.0,0.0,8560.0,20260924_004513_264273
Gemini,C4,3,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.4286,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,36111.0,68805.985,6.0,0.0,18662.0,20260924_004557_528453
Gemini,C4,3,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,32678.0,67695.371,6.0,0.0,17547.0,20260924_004709_849176
Gemini,C4,3,TNTConcept,0.9231,0.7647,0.9231,0.9231,0.9231,0.7647,0.7647,0.7647,1.0,0.8571,0.7879,0.7429,1,0.0,70951.0,177387.276,6.0,0.0,56361.0,20260924_004820_759079
DeepSeek,C0,1,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,2848.0,4829.469,1.0,2490.0,358.0,20260909_000015_985111
DeepSeek,C0,1,AcmeAir,1.0,0.6667,1.0,,,0.6667,,,1.0,1.0,0.6,0.75,1,0.0,2703.0,4254.961,1.0,2318.0,385.0,20260909_000024_135959
DeepSeek,C0,1,Cargo-Tracker,0.9091,0.8,0.9091,,,0.8,,,1.0,0.8333,0.8889,0.7273,1,0.0,2896.0,5313.213,1.0,2537.0,359.0,20260909_000031_916769
DeepSeek,C0,1,DayTrader7,0.7273,0.6087,0.7273,,,0.6087,,,0.8,0.6667,0.6364,0.5833,1,0.0,3187.0,5333.161,1.0,2675.0,512.0,20260909_000040_069614
DeepSeek,C0,1,Jokul,1.0,0.8571,1.0,,,0.8571,,,1.0,1.0,0.75,1.0,1,0.0,2661.0,4080.303,1.0,2434.0,227.0,20260909_000048_614440
DeepSeek,C0,1,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,3096.0,5363.412,1.0,2657.0,439.0,20260909_000056_214794
DeepSeek,C0,1,PetClinic,1.0,0.8571,1.0,,,0.8571,,,1.0,1.0,0.75,1.0,1,0.0,2288.0,3081.856,1.0,2093.0,195.0,20260909_000105_073448
DeepSeek,C0,1,TNTConcept,0.9231,0.7714,0.9231,,,0.7714,,,1.0,0.8571,0.7714,0.7714,1,0.0,2332.0,4382.786,1.0,1918.0,414.0,20260909_000111_118651
DeepSeek,C0,2,7ep,1.0,0.8696,1.0,,,0.8696,,,1.0,1.0,0.7692,1.0,1,0.0,2819.0,4341.237,1.0,2490.0,329.0,20260909_000859_000025
DeepSeek,C0,2,AcmeAir,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,0.8889,1.0,1,0.0,2702.0,4411.555,1.0,2318.0,384.0,20260909_000906_277427
DeepSeek,C0,2,Cargo-Tracker,0.9091,0.8,0.9091,,,0.8,,,1.0,0.8333,0.8889,0.7273,1,0.0,2884.0,4308.853,1.0,2537.0,347.0,20260909_000913_324142
DeepSeek,C0,2,DayTrader7,0.8571,0.72,0.8571,,,0.72,,,0.75,1.0,0.6923,0.75,1,0.0,3094.0,4410.987,1.0,2675.0,419.0,20260909_000919_667318
DeepSeek,C0,2,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,2606.0,2549.166,1.0,2434.0,172.0,20260909_000926_245315
DeepSeek,C0,2,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,3082.0,4709.564,1.0,2657.0,425.0,20260909_000931_840527
DeepSeek,C0,2,PetClinic,1.0,0.8571,1.0,,,0.8571,,,1.0,1.0,0.75,1.0,1,0.0,2288.0,2664.386,1.0,2093.0,195.0,20260909_000938_653009
